review_month,review_count,avg_rating,helpful_votes
1999-06,1,5.0,0
1999-07,4,5.0,6
1999-08,2,5.0,28
1999-09,2,4.5,2
1999-10,9,4.0,349
1999-11,18,4.111,1290
1999-12,36,4.5,2500
2000-01,35,4.086,1585
2000-02,25,3.96,933
2000-03,19,4.158,892
2000-04,41,4.512,1447
2000-05,90,4.2,2956
2000-06,73,4.384,2028
2000-07,62,4.323,1699
2000-08,87,4.195,3133
2000-09,80,4.425,1973
2000-10,109,4.45,4116
2000-11,79,4.278,3060
2000-12,117,4.419,2811
2001-01,99,4.242,1750
2001-02,112,4.179,1905
2001-03,109,4.211,1611
2001-04,73,4.247,1275
2001-05,96,4.031,1902
2001-06,134,4.201,1954
2001-07,150,4.073,1370
2001-08,138,4.13,1804
2001-09,125,4.272,3123
2001-10,138,4.239,2102
2001-11,180,4.194,4238
2001-12,255,4.22,3283
2002-01,180,3.967,2339
2002-02,161,4.155,2791
2002-03,189,4.201,3043
2002-04,140,3.95,2516
2002-05,152,4.283,2271
2002-06,163,3.963,2018
2002-07,198,4.061,2635
2002-08,148,4.351,2122
2002-09,170,4.182,2318
2002-10,206,4.194,3659
2002-11,262,4.069,6224
2002-12,346,4.043,5914
2003-01,340,4.026,4624
2003-02,223,3.857,2531
2003-03,236,4.169,3825
2003-04,271,4.129,4172
2003-05,328,4.018,5622
2003-06,293,4.177,4836
2003-07,260,4.142,4312
2003-08,267,4.0,3482
2003-09,287,3.983,5898
2003-10,292,3.856,7250
2003-11,337,3.878,7972
2003-12,413,3.981,8430
2004-01,366,3.817,7323
2004-02,331,3.924,4840
2004-03,358,3.911,6547
2004-04,301,3.847,5422
2004-05,318,3.852,6735
2004-06,363,3.884,8703
2004-07,414,3.853,9138
2004-08,398,3.786,8801
2004-09,465,3.942,15900
2004-10,506,3.919,16106
2004-11,545,3.993,17614
2004-12,791,3.8,20008
2005-01,872,3.869,19751
2005-02,601,3.952,14179
2005-03,788,3.924,18073
2005-04,527,3.831,16725
2005-05,564,3.823,15304
2005-06,646,3.845,14674
2005-07,762,3.992,21353
2005-08,1037,3.989,17825
2005-09,1002,3.931,18684
2005-10,973,3.948,24715
2005-11,785,3.843,24779
2005-12,1063,3.919,23661
2006-01,1317,3.853,23550
2006-02,1162,3.997,19318
2006-03,1358,3.987,22012
2006-04,851,3.863,22236
2006-05,866,3.925,20936
2006-06,1023,3.99,20687
2006-07,1373,4.033,28188
2006-08,1456,4.144,24335
2006-09,965,3.944,24081
2006-10,1012,3.85,20048
2006-11,1951,4.094,32013
2006-12,1979,4.001,29084
2007-01,4204,4.179,29494
2007-02,2180,4.126,19877
2007-03,2589,4.191,18506
2007-04,1778,4.128,14526
2007-05,2655,4.204,19627
2007-06,1915,4.128,13245
2007-07,2055,4.153,12725
2007-08,2004,4.098,19470
2007-09,1940,4.104,17439
2007-10,1863,4.104,12329
2007-11,2018,4.085,14201
2007-12,2335,4.106,14114
2008-01,2657,4.144,12698
2008-02,2126,4.172,11100
2008-03,1968,4.101,9937
2008-04,1932,4.143,8501
2008-05,1969,4.174,9000
2008-06,1758,4.17,20500
2008-07,1682,4.141,7355
2008-08,1662,4.122,7873
2008-09,1437,4.035,5052
2008-10,1446,4.183,5518
2008-11,1498,4.146,5717
2008-12,1844,4.146,8056
2009-01,2286,4.149,7333
2009-02,1865,4.212,7562
2009-03,1653,4.209,6382
2009-04,1624,4.145,7117
2009-05,1585,4.153,5716
2009-06,1576,4.192,6219
2009-07,1264,4.098,5125
2009-08,1317,4.089,4838
2009-09,1621,4.183,5120
2009-10,1412,4.142,5464
2009-11,1412,4.121,5349
2009-12,1678,4.072,4875
2010-01,1842,4.146,6159
2010-02,1608,4.19,4976
2010-03,1603,4.11,5204
2010-04,1435,4.171,4594
2010-05,1351,4.167,3511
2010-06,1240,4.122,4443
2010-07,1396,4.206,5978
2010-08,1402,4.136,4246
2010-09,1479,4.204,3430
2010-10,1543,4.161,4139
2010-11,1594,4.151,4856
2010-12,1985,4.234,4511
2011-01,1939,4.227,5052
2011-02,1602,4.169,3583
2011-03,1767,4.207,4349
2011-04,1718,4.241,3668
2011-05,1609,4.252,3062
2011-06,1619,4.174,3373
2011-07,1631,4.221,3953
2011-08,1802,4.128,3247
2011-09,1947,4.229,3273
2011-10,1818,4.272,2868
2011-11,1907,4.235,3405
2011-12,2336,4.227,3778
2012-01,2305,4.23,3156
2012-02,1965,4.295,3053
2012-03,1847,4.206,2905
2012-04,1641,4.28,2745
2012-05,1619,4.2,2351
2012-06,1605,4.188,2335
2012-07,1713,4.238,2436
2012-08,1790,4.241,2466
2012-09,1646,4.267,1917
2012-10,1686,4.297,1797
2012-11,2791,4.32,2214
2012-12,5702,4.392,3679
2013-01,6062,4.407,3141
2013-02,4855,4.422,2699
2013-03,4703,4.408,2344
2013-04,4354,4.395,2428
2013-05,4042,4.367,2121
2013-06,3690,4.371,1925
2013-07,3952,4.409,1935
2013-08,3919,4.364,1792
2013-09,3148,4.346,1440
2013-10,3543,4.382,1486
2013-11,3999,4.34,1542
2013-12,5119,4.341,1712
2014-01,4755,4.38,1745
2014-02,4032,4.364,1148
2014-03,4171,4.375,1152
2014-04,3420,4.39,731
2014-05,3165,4.417,562
2014-06,3100,4.37,399
2014-07,2231,4.377,81
