asin,review_count,avg_rating,helpful_votes,helpful_rate,avg_review_word_count,first_review_month,last_review_month,quality_flag
B0002L5R78,2599,4.6,7968,0.9162,51.343,2006-07,2014-07,high_volume_high_rating
B000BQ7GW8,1388,4.696,1514,0.858,41.745,2008-01,2014-07,high_volume_high_rating
B00007E7JU,1279,4.589,5672,0.9069,110.72,2004-07,2014-07,high_volume_high_rating
B00004ZCJE,1258,4.282,1684,0.8236,48.9,2003-06,2014-07,monitor
B000I68BD4,1018,3.718,2690,0.8952,75.68,2006-12,2014-07,monitor
B000JMJWV2,967,4.477,2195,0.8374,62.033,2007-08,2014-07,monitor
B0001FTVEK,950,3.896,2851,0.8874,127.566,2004-12,2014-07,monitor
B000JE7GPY,886,4.736,1478,0.8295,66.713,2007-07,2014-07,high_volume_high_rating
B000A6PPOK,809,4.016,2144,0.8601,127.025,2005-10,2014-07,monitor
B000FBK3QK,797,4.545,3188,0.8921,115.193,2008-01,2014-07,high_volume_high_rating
B000HPV3RW,780,4.612,1313,0.821,72.372,2007-06,2014-07,high_volume_high_rating
B00005T3G0,712,4.643,740,0.7838,51.478,2009-04,2014-07,high_volume_high_rating
B000CKVOOY,704,4.696,965,0.8435,72.28,2010-11,2014-07,high_volume_high_rating
B00007M1TZ,677,4.14,1993,0.9413,72.309,2003-09,2014-07,monitor
B00017LSPI,629,4.614,1082,0.7948,69.259,2006-04,2014-07,high_volume_high_rating
B00009R6TA,611,4.466,1903,0.927,112.399,2005-04,2014-07,monitor
B0000BZL1P,601,4.809,1524,0.664,70.96,2005-05,2014-07,high_volume_high_rating
B000IJY8DS,596,4.401,482,0.9129,49.522,2007-06,2014-07,monitor
B0007MXZB2,590,3.769,6122,0.9386,125.325,2005-07,2014-07,monitor
B00007EDZG,586,4.445,1048,0.7615,68.131,2005-01,2014-07,monitor
B000BTL0OA,585,4.395,2372,0.8229,101.641,2006-03,2014-07,monitor
B000B9RI14,571,4.804,556,0.5845,46.909,2007-01,2014-07,high_volume_high_rating
B00006RVPW,570,4.542,1575,0.8438,74.435,2005-09,2014-07,high_volume_high_rating
B000ID7QNI,566,4.549,237,0.7426,70.078,2007-01,2014-07,high_volume_high_rating
B000652M6Y,557,4.124,1569,0.9261,84.645,2010-06,2014-07,monitor
B00004T8R2,552,4.379,1538,0.907,79.332,2003-09,2014-07,monitor
B000BKJZ9Q,506,4.35,5788,0.8808,188.929,2005-11,2014-07,monitor
B0002KVQBA,504,4.55,1297,0.7402,112.891,2005-11,2014-07,high_volume_high_rating
B00093IIRA,497,3.857,1945,0.8149,200.636,2005-05,2014-02,monitor
B000067RT6,495,4.632,436,0.8509,48.558,2007-02,2014-07,high_volume_high_rating
B00020S7XK,487,4.423,1087,0.897,96.801,2005-04,2014-07,monitor
B00001P4ZH,482,4.465,1394,0.8723,136.965,2000-07,2014-07,monitor
B00009XVCZ,467,4.557,2325,0.8,144.872,2004-06,2014-07,high_volume_high_rating
B000J01I1G,464,4.334,461,0.82,80.42,2006-12,2014-07,monitor
B00007KDVI,460,3.754,1286,0.7053,135.911,2003-01,2014-07,monitor
B00007E7C8,454,4.463,1213,0.8425,102.969,2003-10,2014-07,monitor
B0002CPBWI,446,4.186,1429,0.9104,92.164,2004-11,2014-07,monitor
B00006B7DA,441,4.095,1816,0.859,91.649,2003-02,2014-07,monitor
B0007XJSQC,434,4.147,589,0.7657,104.571,2005-09,2014-07,monitor
B00006JN3G,426,4.418,1165,0.7803,58.955,2004-02,2014-07,monitor
B00005LEN4,420,4.752,2590,0.8363,106.724,2004-11,2014-07,high_volume_high_rating
B000JNQSIQ,420,4.564,223,0.6726,72.31,2008-05,2014-07,high_volume_high_rating
B00081A2KY,418,4.493,722,0.8615,57.182,2006-06,2014-07,monitor
B000CRFOMK,413,4.576,296,0.8885,52.133,2009-01,2014-07,high_volume_high_rating
B00029U1DK,410,4.551,677,0.8316,47.437,2005-01,2014-07,high_volume_high_rating
B000EVSLRO,407,4.206,797,0.8657,74.885,2006-07,2014-07,monitor
B0009Y7APU,405,4.642,293,0.8191,57.568,2007-03,2014-07,high_volume_high_rating
B00001WRSJ,403,4.63,991,0.7497,140.911,2004-01,2014-07,high_volume_high_rating
B000HDJT4S,403,4.543,493,0.8256,63.938,2007-05,2014-07,high_volume_high_rating
B000065BP9,403,4.184,917,0.8353,110.516,2002-09,2014-05,monitor
B000067RC4,401,4.362,506,0.9328,47.728,2007-02,2014-07,monitor
B000C1Z0HA,374,4.278,618,0.9061,116.794,2007-01,2014-07,monitor
B00007IFED,370,4.3,676,0.892,67.3,2006-11,2014-07,monitor
B0006B486K,367,4.142,702,0.7934,119.204,2005-03,2014-07,monitor
B000HKGK8Y,360,3.881,520,0.8423,88.139,2008-07,2014-07,monitor
B00077AA5Q,356,4.34,4359,0.9053,162.056,2005-06,2014-07,monitor
B00004ZC8Y,352,4.392,1417,0.8476,55.935,2002-05,2014-07,monitor
B0002Y5WZM,351,4.658,695,0.9338,72.083,2005-12,2014-07,high_volume_high_rating
B000F28DP2,349,4.441,1049,0.8398,104.235,2008-04,2014-07,monitor
B000E6G9RI,344,3.773,278,0.723,142.372,2007-02,2014-07,monitor
B000FKP7TY,338,3.938,394,0.7766,65.985,2009-01,2014-07,monitor
B000089GN3,333,4.559,1742,0.9041,137.739,2003-07,2013-07,high_volume_high_rating
B000I23TTE,329,4.401,369,0.9133,45.313,2008-10,2014-07,monitor
B0002SQ2P2,325,4.483,1413,0.8839,154.003,2004-10,2014-06,monitor
B000FOYMKU,315,3.902,326,0.8681,86.673,2007-06,2014-07,monitor
B000AJIF4E,311,4.617,2330,0.8558,153.161,2004-08,2014-07,high_volume_high_rating
B000IF4788,311,4.18,1224,0.9273,99.553,2007-02,2014-07,monitor
B00007EDM8,311,3.932,996,0.9116,82.637,2004-01,2014-07,monitor
B0001Y7UAI,300,4.737,99,0.7677,44.083,2007-01,2014-07,high_volume_high_rating
B000062VUO,299,4.334,1646,0.8445,188.244,2002-04,2014-07,monitor
