term,count
these,94469
camera,76188
lens,73681
quality,71538
sound,70141
them,69303
only,68258
price,68138
other,62339
which,59444
some,59226
don't,56448
also,54457
time,53493
much,52851
cable,52338
bought,50293
better,49847
any,48561
even,48116
really,47574
used,46748
does,46380
after,45956
now,44361
using,44323
little,43778
because,43642
i've,43415
buy,43180
i'm,42821
need,42533
still,40186
too,38342
easy,38197
then,37859
nice,37140
off,36743
over,36289
two,36070
unit,35958
into,35718
back,34947
want,34746
battery,34285
best,34274
case,34095
could,33648
new,33402
got,33369
