asin,modeled_product_name,metadata_status,first_review_month,last_review_month
0528881469,Product 0528881469,metadata_not_joined,2010-09,2013-06
0594451647,Product 0594451647,metadata_not_joined,2014-01,2014-07
0594481813,Product 0594481813,metadata_not_joined,2013-05,2014-05
0972683275,Product 0972683275,metadata_not_joined,2008-02,2014-07
1400501466,Product 1400501466,metadata_not_joined,2011-12,2014-05
1400501520,Product 1400501520,metadata_not_joined,2012-12,2014-03
1400501776,Product 1400501776,metadata_not_joined,2012-04,2014-04
1400532620,Product 1400532620,metadata_not_joined,2010-07,2014-06
1400532655,Product 1400532655,metadata_not_joined,2010-11,2014-07
140053271X,Product 140053271X,metadata_not_joined,2011-07,2014-05
1400532736,Product 1400532736,metadata_not_joined,2012-09,2014-06
1400599997,Product 1400599997,metadata_not_joined,2009-12,2013-11
1400698987,Product 1400698987,metadata_not_joined,2013-05,2014-07
1400699169,Product 1400699169,metadata_not_joined,2013-05,2014-07
1615527613,Product 1615527613,metadata_not_joined,2012-08,2013-12
3744295508,Product 3744295508,metadata_not_joined,2010-05,2014-01
3930992868,Product 3930992868,metadata_not_joined,2010-12,2014-04
3936710058,Product 3936710058,metadata_not_joined,2012-12,2014-04
6301977173,Product 6301977173,metadata_not_joined,2000-05,2014-05
7214047977,Product 7214047977,metadata_not_joined,2012-12,2014-03
7507825604,Product 7507825604,metadata_not_joined,2012-03,2014-07
7799813393,Product 7799813393,metadata_not_joined,2012-08,2013-04
8862935293,Product 8862935293,metadata_not_joined,2010-07,2014-01
8862936826,Product 8862936826,metadata_not_joined,2010-11,2013-02
8918010656,Product 8918010656,metadata_not_joined,2014-02,2014-06
9043413585,Product 9043413585,metadata_not_joined,2009-01,2013-09
9573212900,Product 9573212900,metadata_not_joined,2009-08,2014-05
9573212919,Product 9573212919,metadata_not_joined,2010-03,2014-07
9575871979,Product 9575871979,metadata_not_joined,2007-10,2014-07
9625993428,Product 9625993428,metadata_not_joined,2010-04,2014-07
9862510447,Product 9862510447,metadata_not_joined,2010-08,2012-03
9876050621,Product 9876050621,metadata_not_joined,2014-03,2014-06
9888002198,Product 9888002198,metadata_not_joined,2010-01,2014-04
9966338926,Product 9966338926,metadata_not_joined,2013-02,2014-03
9966541551,Product 9966541551,metadata_not_joined,2014-01,2014-04
9966569863,Product 9966569863,metadata_not_joined,2013-10,2014-06
9966694544,Product 9966694544,metadata_not_joined,2013-05,2014-06
9981739588,Product 9981739588,metadata_not_joined,2010-05,2013-12
9983891204,Product 9983891204,metadata_not_joined,2010-05,2014-03
9983891212,Product 9983891212,metadata_not_joined,2010-03,2014-06
9984984354,Product 9984984354,metadata_not_joined,2010-06,2013-05
9984984362,Product 9984984362,metadata_not_joined,2010-12,2013-12
998498480X,Product 998498480X,metadata_not_joined,2010-03,2014-04
9985511476,Product 9985511476,metadata_not_joined,2012-10,2014-04
B000001OL6,Product B000001OL6,metadata_not_joined,2007-01,2013-09
B000001OM4,Product B000001OM4,metadata_not_joined,2005-08,2014-06
