review_month,review_year,review_month_number,month_start_date
1999-06,1999,6,1999-06-01
1999-07,1999,7,1999-07-01
1999-08,1999,8,1999-08-01
1999-09,1999,9,1999-09-01
1999-10,1999,10,1999-10-01
1999-11,1999,11,1999-11-01
1999-12,1999,12,1999-12-01
2000-01,2000,1,2000-01-01
2000-02,2000,2,2000-02-01
2000-03,2000,3,2000-03-01
2000-04,2000,4,2000-04-01
2000-05,2000,5,2000-05-01
2000-06,2000,6,2000-06-01
2000-07,2000,7,2000-07-01
2000-08,2000,8,2000-08-01
2000-09,2000,9,2000-09-01
2000-10,2000,10,2000-10-01
2000-11,2000,11,2000-11-01
2000-12,2000,12,2000-12-01
2001-01,2001,1,2001-01-01
2001-02,2001,2,2001-02-01
2001-03,2001,3,2001-03-01
2001-04,2001,4,2001-04-01
2001-05,2001,5,2001-05-01
2001-06,2001,6,2001-06-01
2001-07,2001,7,2001-07-01
2001-08,2001,8,2001-08-01
2001-09,2001,9,2001-09-01
2001-10,2001,10,2001-10-01
2001-11,2001,11,2001-11-01
2001-12,2001,12,2001-12-01
2002-01,2002,1,2002-01-01
2002-02,2002,2,2002-02-01
2002-03,2002,3,2002-03-01
2002-04,2002,4,2002-04-01
2002-05,2002,5,2002-05-01
2002-06,2002,6,2002-06-01
2002-07,2002,7,2002-07-01
2002-08,2002,8,2002-08-01
2002-09,2002,9,2002-09-01
2002-10,2002,10,2002-10-01
2002-11,2002,11,2002-11-01
2002-12,2002,12,2002-12-01
2003-01,2003,1,2003-01-01
2003-02,2003,2,2003-02-01
2003-03,2003,3,2003-03-01
2003-04,2003,4,2003-04-01
2003-05,2003,5,2003-05-01
2003-06,2003,6,2003-06-01
2003-07,2003,7,2003-07-01
2003-08,2003,8,2003-08-01
2003-09,2003,9,2003-09-01
2003-10,2003,10,2003-10-01
2003-11,2003,11,2003-11-01
2003-12,2003,12,2003-12-01
2004-01,2004,1,2004-01-01
2004-02,2004,2,2004-02-01
2004-03,2004,3,2004-03-01
2004-04,2004,4,2004-04-01
2004-05,2004,5,2004-05-01
2004-06,2004,6,2004-06-01
2004-07,2004,7,2004-07-01
2004-08,2004,8,2004-08-01
2004-09,2004,9,2004-09-01
2004-10,2004,10,2004-10-01
2004-11,2004,11,2004-11-01
2004-12,2004,12,2004-12-01
2005-01,2005,1,2005-01-01
2005-02,2005,2,2005-02-01
2005-03,2005,3,2005-03-01
2005-04,2005,4,2005-04-01
2005-05,2005,5,2005-05-01
2005-06,2005,6,2005-06-01
2005-07,2005,7,2005-07-01
2005-08,2005,8,2005-08-01
2005-09,2005,9,2005-09-01
2005-10,2005,10,2005-10-01
2005-11,2005,11,2005-11-01
2005-12,2005,12,2005-12-01
2006-01,2006,1,2006-01-01
2006-02,2006,2,2006-02-01
2006-03,2006,3,2006-03-01
2006-04,2006,4,2006-04-01
2006-05,2006,5,2006-05-01
2006-06,2006,6,2006-06-01
2006-07,2006,7,2006-07-01
2006-08,2006,8,2006-08-01
2006-09,2006,9,2006-09-01
2006-10,2006,10,2006-10-01
2006-11,2006,11,2006-11-01
2006-12,2006,12,2006-12-01
2007-01,2007,1,2007-01-01
2007-02,2007,2,2007-02-01
2007-03,2007,3,2007-03-01
2007-04,2007,4,2007-04-01
2007-05,2007,5,2007-05-01
2007-06,2007,6,2007-06-01
2007-07,2007,7,2007-07-01
2007-08,2007,8,2007-08-01
2007-09,2007,9,2007-09-01
2007-10,2007,10,2007-10-01
2007-11,2007,11,2007-11-01
2007-12,2007,12,2007-12-01
2008-01,2008,1,2008-01-01
2008-02,2008,2,2008-02-01
2008-03,2008,3,2008-03-01
2008-04,2008,4,2008-04-01
2008-05,2008,5,2008-05-01
2008-06,2008,6,2008-06-01
2008-07,2008,7,2008-07-01
2008-08,2008,8,2008-08-01
2008-09,2008,9,2008-09-01
2008-10,2008,10,2008-10-01
2008-11,2008,11,2008-11-01
2008-12,2008,12,2008-12-01
2009-01,2009,1,2009-01-01
2009-02,2009,2,2009-02-01
2009-03,2009,3,2009-03-01
2009-04,2009,4,2009-04-01
2009-05,2009,5,2009-05-01
2009-06,2009,6,2009-06-01
2009-07,2009,7,2009-07-01
2009-08,2009,8,2009-08-01
2009-09,2009,9,2009-09-01
2009-10,2009,10,2009-10-01
2009-11,2009,11,2009-11-01
2009-12,2009,12,2009-12-01
2010-01,2010,1,2010-01-01
2010-02,2010,2,2010-02-01
2010-03,2010,3,2010-03-01
2010-04,2010,4,2010-04-01
2010-05,2010,5,2010-05-01
2010-06,2010,6,2010-06-01
2010-07,2010,7,2010-07-01
2010-08,2010,8,2010-08-01
2010-09,2010,9,2010-09-01
2010-10,2010,10,2010-10-01
2010-11,2010,11,2010-11-01
2010-12,2010,12,2010-12-01
2011-01,2011,1,2011-01-01
2011-02,2011,2,2011-02-01
2011-03,2011,3,2011-03-01
2011-04,2011,4,2011-04-01
2011-05,2011,5,2011-05-01
2011-06,2011,6,2011-06-01
2011-07,2011,7,2011-07-01
2011-08,2011,8,2011-08-01
2011-09,2011,9,2011-09-01
2011-10,2011,10,2011-10-01
2011-11,2011,11,2011-11-01
2011-12,2011,12,2011-12-01
2012-01,2012,1,2012-01-01
2012-02,2012,2,2012-02-01
2012-03,2012,3,2012-03-01
2012-04,2012,4,2012-04-01
2012-05,2012,5,2012-05-01
2012-06,2012,6,2012-06-01
2012-07,2012,7,2012-07-01
2012-08,2012,8,2012-08-01
2012-09,2012,9,2012-09-01
2012-10,2012,10,2012-10-01
2012-11,2012,11,2012-11-01
2012-12,2012,12,2012-12-01
2013-01,2013,1,2013-01-01
2013-02,2013,2,2013-02-01
2013-03,2013,3,2013-03-01
2013-04,2013,4,2013-04-01
2013-05,2013,5,2013-05-01
2013-06,2013,6,2013-06-01
2013-07,2013,7,2013-07-01
2013-08,2013,8,2013-08-01
2013-09,2013,9,2013-09-01
2013-10,2013,10,2013-10-01
2013-11,2013,11,2013-11-01
2013-12,2013,12,2013-12-01
2014-01,2014,1,2014-01-01
2014-02,2014,2,2014-02-01
2014-03,2014,3,2014-03-01
2014-04,2014,4,2014-04-01
2014-05,2014,5,2014-05-01
2014-06,2014,6,2014-06-01
2014-07,2014,7,2014-07-01
