reviewer_id,asin,rating,review_month,helpful_yes,helpful_total,helpful_rate,review_word_count,summary
AO94DHGC771SJ,0528881469,5.0,2013-06,0,0,,149,Gotta have GPS!
AMO214LNFCEI4,0528881469,1.0,2010-11,12,15,0.8,427,Very Disappointed
A3N7T0DY83Y4IG,0528881469,3.0,2010-09,43,45,0.9556,846,1st impression
A1H8PY3QHMQQA0,0528881469,2.0,2010-11,9,10,0.9,449,"Great grafics, POOR GPS"
A24EV6RXELQZ63,0528881469,1.0,2011-09,0,0,,202,"Major issues, only excuses for support"
A2JXAZZI9PHK9Z,0594451647,5.0,2014-01,3,3,1.0,22,HDMI Nook adapter cable
A2P5U7BDKKT7FW,0594451647,2.0,2014-04,0,0,,22,Cheap proprietary scam
AAZ084UMH8VZ2,0594451647,5.0,2014-05,0,0,,120,A Perfdect Nook HD+ hook up
AEZ3CR6BKIROJ,0594451647,4.0,2014-07,0,0,,84,A nice easy to use accessory.
A3BY5KCNQZXV5U,0594451647,5.0,2014-01,3,3,1.0,185,This works great but read the details...
A7S2B0I67WNWB,0594481813,4.0,2014-04,2,2,1.0,20,As expected
A3HICVLF4PFFMN,0594481813,5.0,2014-05,0,0,,25,great fit
ANSKSPEEAKY7S,0594481813,5.0,2013-06,1,1,1.0,21,Works Great
A2QBZA4S1ROX9Q,0594481813,3.0,2013-05,0,1,0.0,49,It Works
ANY6JUFM0GH8U,0594481813,5.0,2014-03,2,2,1.0,67,Great replacement for original power cable
AT09WGFUM934H,0594481813,3.0,2013-08,0,0,,130,This is the oem charger you get with the nook hd+
AGAKHE014LQFU,0594481813,3.0,2013-09,3,5,0.6,42,$45 for a power cord? Good luck with that.
A1S6B5QFWGVL5U,0594481813,4.0,2013-06,2,2,1.0,26,Good replacement
A20XXTXWF2TCPY,0972683275,5.0,2014-07,0,0,,14,Excelant mount for Tv. Would buy more if I needed them.
A2IDCSC6NVONIZ,0972683275,5.0,2013-04,1,1,1.0,52,Perfect
A1EDI0X3GI1SK7,0972683275,5.0,2011-12,0,1,0.0,24,32 In TV Mount
A3BMUBUC1N77U8,0972683275,4.0,2013-11,0,0,,47,"Pretty simple, but definitely good!"
AVRFGGCCCR6QU,0972683275,4.0,2010-08,3,4,0.75,81,Fairly good wall mount
A3UOSOCRKS3WIH,0972683275,5.0,2013-05,0,0,,33,Cant Beat it!
A371ZZ95ZQEIZV,0972683275,4.0,2014-01,0,0,,128,"Sturdy Mount, good customer service"
A7060R14RJF3I,0972683275,4.0,2013-05,0,0,,56,Works
A26QCCO0101CO1,0972683275,5.0,2013-02,7,9,0.7778,79,Just what I'd hoped
APBF796U7GUTV,0972683275,5.0,2012-03,1,1,1.0,49,Nice Mount
A2HLNXOYLMERTC,0972683275,5.0,2014-04,0,0,,22,Buy this mount its the best
A3CCITVF0WL6KE,0972683275,5.0,2013-01,0,0,,23,VideoSecu Swing Arm TV Wall Mount
AYQNWE3AX4H08,0972683275,5.0,2013-07,0,0,,76,work great
A3P24ZSF9IQRJJ,0972683275,5.0,2014-06,0,0,,32,great
A1JI3XL5ME8CWM,0972683275,4.0,2012-05,0,0,,62,Great product for money
AQBLWW13U66XD,0972683275,5.0,2013-08,0,0,,45,High Quality/Low Price
AUKEU9CW56TT4,0972683275,5.0,2014-04,0,0,,165,Easy to Mount; Rock-solid
A23A7OH3AM0PDA,0972683275,4.0,2011-01,0,0,,146,"Nice Mount, beware of cable connections"
A12AU3CNAWYO5D,0972683275,5.0,2012-12,0,0,,31,Works like a charm so far
A5O0P0JV6PLU3,0972683275,5.0,2012-11,0,0,,21,deal!
A27X48PMUGK6U4,0972683275,5.0,2010-11,0,0,,42,HD TV wall mount
A2KQDWZZUBBNOJ,0972683275,4.0,2011-05,0,0,,416,It works!
A27XULAA9X5ZGQ,0972683275,5.0,2012-02,0,0,,50,Very Pleased
A3IIGCFLKVFW8M,0972683275,5.0,2014-02,0,0,,46,Holds a lot
A20VSTDILG9K7H,0972683275,4.0,2014-06,0,0,,28,Works well
A3VKO21KYDJQ2W,0972683275,3.0,2011-07,0,0,,87,Great for the price.
A1MSO6LERG39PC,0972683275,5.0,2012-09,1,1,1.0,214,Outstanding Articulating Wall Mount!
A20Q4FIBCAG2ZV,0972683275,5.0,2013-04,0,0,,20,great product
A1980MGZXSGJP,0972683275,5.0,2013-02,0,0,,67,Great product for a great price!
A1GLL5CJ1SFAMS,0972683275,5.0,2012-01,0,0,,57,wall mount
A2683OJ85CLWFA,0972683275,5.0,2013-02,0,0,,46,Booyah!
A3M6S7Y1FNPOLD,0972683275,3.0,2012-12,0,0,,32,"for 25&#34; monitor, it worked well"
AOU1TM9UA1BZF,0972683275,5.0,2014-01,0,0,,72,awesome
A3S5643F4JNLQQ,0972683275,5.0,2013-07,0,1,0.0,91,Just what I was needing.
AJIA55AVU0CUS,0972683275,4.0,2013-04,0,0,,35,"For 22"" LCD"
